"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
1968,2024-06-01 0:54,6.2,20,28.97 S,176.87 W,뉴질랜드 타우랑가 북동쪽 1164km 해역,지도
1967,2024-06-01 0:46,6.3,10,43.27 S,41.67 E,남아프리카공화국 이스트런던 남동쪽 1648km 해역,지도
1966,2024-05-27 5:47,6.6,112,19.38 S,174.87 W,통가 누쿠알로파 북쪽 199km 해역,지도
1965,2024-05-26 7:23,6.3,29,17.11 S,167.88 E,바누아투 포트빌라 북북서쪽 83km 해역,지도
1964,2024-05-21 9:39,6,50,26.20 N,141.50 E,일본 시즈오카현 하마마쓰시 남남동쪽 1013km 해역,지도
1963,2024-05-19 18:35,6,30,52.22 N,170.94 W,미국 앵커리지 남서쪽 1609km 해역,지도
1962,2024-05-12 20:39,6.4,75,14.45 N,92.36 W,멕시코 치아파스 타파출라 남남서쪽 52km 해역,지도
1961,2024-05-08 17:17,6.1,13,15.14 S,168.00 E,바누아투 루간빌 동북동쪽 99km 해역,지도
1960,2024-05-06 3:33,6.2,12,3.31 S,130.98 E,인도네시아 소롱 남쪽 273km 해역,지도
1959,2024-04-29 2:40,5,36,24.15 N,121.66 E,대만 화롄현 북북동쪽 21km 지역,지도
1958,2024-04-28 12:43,4.4,30,38.27 N,122.96 E,중국 랴오닝성 다롄시 동남동쪽 137km 해역,지도
1957,2024-04-28 1:29,6.1,68,8.11 S,107.27 E,인도네시아 반자르 남쪽 102km 해역,지도
1956,2024-04-27 17:36,6.9,540,27.90 N,140.00 E,일본 시즈오카현 하마마쓰시 남남동쪽 787km 해역,지도
1955,2024-04-27 7:23,6,11,37.04 S,78.18 E,인도양 중앙해령,지도
1954,2024-04-27 4:13,5,22,24.21 N,121.66 E,대만 화롄현 북북동쪽 27km 지역,지도
1953,2024-04-27 3:49,5.8,19,24.25 N,121.69 E,대만 화롄현 북북동쪽 32km 지역,지도
1952,2024-04-27 3:21,6.1,25,24.19 N,121.68 E,대만 화롄현 북북동쪽 25km 해역,지도
1951,2024-04-24 20:40,5,60,36.50 N,140.60 E,일본 이바라키현 미토시 북동쪽 19km 지역,지도
1950,2024-04-23 11:21,5.4,9,23.85 N,121.55 E,대만 화롄현 남남서쪽 15km 지역,지도
1949,2024-04-23 10:45,5.4,9,23.81 N,121.57 E,대만 화롄현 남남서쪽 18km 지역,지도
1948,2024-04-23 6:04,5.5,8,23.71 N,121.51 E,대만 화롄현 남남서쪽 31km 지역,지도
1947,2024-04-23 3:32,6.3,6,23.85 N,121.54 E,대만 화롄현 남남서쪽 15km 지역,지도
1946,2024-04-23 3:26,6,10,23.72 N,121.66 E,대만 화롄현 남쪽 29km 해역,지도
1945,2024-04-22 23:11,5.9,9,23.77 N,121.52 E,대만 화롄현 남남서쪽 24km 지역,지도
1944,2024-04-22 22:13,5.3,10,23.71 N,121.53 E,대만 화롄현 남남서쪽 30km 지역,지도
1943,2024-04-22 19:50,5.7,10,23.75 N,121.51 E,대만 화롄현 남남서쪽 27km 지역,지도
1942,2024-04-22 19:46,5.4,3,23.77 N,121.53 E,대만 화롄현 남남서쪽 24km 지역,지도
1941,2024-04-22 18:08,5.5,10,23.76 N,121.55 E,대만 화롄현 남남서쪽 24km 지역,지도
1940,2024-04-22 1:35,5.3,23,24.20 N,121.67 E,대만 화롄현 북북동쪽 26km 해역,지도
1939,2024-04-19 23:27,3.9,19,35.01 N,129.64 E,일본 나가사키현 대마도 북북동쪽 96km 해역,지도
1938,2024-04-17 23:14,6.4,50,33.20 N,132.40 E,일본 오이타현 오이타시 동쪽 74km 해역,지도
1937,2024-04-15 5:56,6.5,65,5.85 S,151.08 E,파푸아뉴기니 킴베 동남동쪽 110km 지역,지도
1936,2024-04-09 18:48,6.6,33,2.74 N,127.15 E,인도네시아 북말루쿠 트르나테 북쪽 218km 해역,지도
1935,2024-04-09 9:02,6,9,1.68 S,134.44 E,인도네시아 서파푸아주 마노콰리 남남동쪽 101km 해역,지도
1934,2024-04-05 20:03,6.8,233,19.09 N,145.36 E,괌 데데도 북쪽 622km 해역,지도
1933,2024-04-05 13:50,5.4,8,24.13 N,121.68 E,대만 화롄현 북북동쪽 19km 해역,지도
1932,2024-04-04 12:16,6,40,37.70 N,141.90 E,일본 미야기현 센다이시 남동쪽 110km 해역,지도
1931,2024-04-03 11:14,6.2,17,24.15 N,121.93 E,대만 화롄현 동북동쪽 38km 해역,지도
1930,2024-04-03 8:58,7.2,16,23.77 N,121.67 E,대만 화롄현 남남동쪽 23km 해역,지도
1929,2024-04-02 18:54,6.3,10,15.74 N,147.23 E,북마리아나 제도 사이판 동북동쪽 169km 해역,지도
1928,2024-04-02 4:24,6.1,80,40.10 N,141.70 E,일본 이와테현 모리오카시 북동쪽 64km 지역,지도
1927,2024-03-27 10:28,6.4,10,21.03 S,173.77 E,피지 수바 남서쪽 587km 해역,지도
1926,2024-03-24 5:22,6.9,35,4.14 S,143.10 E,파푸아뉴기니 포트모르즈비 북서쪽 742km 지역,지도
